DATE,JONGNO,JONGNO_ADD,JUNGGU,JUNGGU_ADD,YONGSAN,YONGSAN_ADD,SEONGDONG,SEONGDONG_ADD,GWANGJIN,GWANGJIN_ADD,DDM,DDM_ADD,JUNGNANG,JUNGNANG_ADD,SEONGBUK,SEONGBUK_ADD,GANGBUK,GANGBUK_ADD,DOBONG,DOBONG_ADD,NOWON,NOWON_ADD,EP,EP_ADD,SDM,SDM_ADD,MAPO,MAPO_ADD,YANGCHEON,YANGCHEON_ADD,GURO,GURO_ADD,GEUMCHEON,GEUMCHEON_ADD,YDP,YDP_ADD,DONGJAK,DONGJAK_ADD,GWANAK,GWANAK_ADD,SEOCHO,SEOCHO_ADD,GANGNAM,GANGNAM_ADD,GANGDONG,GANGDONG_ADD,ETC,ETC_ADD
2021.06.15.00,786,2,708,2,1262,2,1277,3,1532,2,1732,8,2070,4,1936,1,1354,5,1445,3,2155,6,2010,0,1179,2,1485,5,1623,5,1547,2,777,1,1728,3,1944,5,2138,4,2010,8,2769,24,1886,11,4299,6
2021.06.14.00,784,3,706,2,1260,9,1274,4,1530,8,1724,7,2066,3,1934,5,1349,2,1442,1,2148,3,2010,5,1177,1,1481,6,1618,2,1545,2,776,2,1725,4,1939,2,2134,7,2002,8,2745,17,1875,7,4294,4
2021.06.13.00,781,1,704,1,1251,6,1270,4,1522,6,1717,14,2063,3,1929,4,1347,4,1441,4,2145,6,2005,5,1175,10,1475,7,1616,5,1543,3,774,5,1721,6,1937,5,2128,3,1994,9,2728,27,1868,5,4290,13
2021.06.12.00,780,2,703,2,1245,8,1266,9,1516,10,1703,10,2060,4,1925,5,1343,11,1437,1,2139,11,2000,7,1165,8,1468,7,1611,9,1540,3,769,4,1715,4,1932,6,2126,19,1985,12,2701,18,1863,5,4278,14
2021.06.11.00,778,4,700,8,1238,14,1257,3,1506,5,1693,10,2056,2,1920,11,1332,13,1436,2,2128,9,1993,8,1157,6,1461,7,1602,11,1536,8,765,2,1711,6,1926,2,2107,10,1973,8,2684,24,1858,10,4266,9
2021.06.10.00,774,5,692,5,1224,11,1254,6,1501,6,1683,6,2054,6,1909,5,1319,6,1434,4,2119,7,1985,6,1151,8,1454,3,1591,3,1528,6,763,2,1705,12,1924,11,2097,5,1965,15,2660,32,1848,7,4257,12
2021.06.09.00,769,1,687,2,1213,10,1248,5,1495,4,1677,3,2048,3,1904,2,1313,0,1430,3,2112,5,1979,11,1143,3,1451,10,1588,5,1522,4,761,3,1693,16,1913,8,2092,8,1950,11,2628,26,1841,6,4244,15
2021.06.08.00,768,1,688,2,1203,9,1243,4,1491,5,1674,2,2044,4,1902,8,1314,3,1426,2,2107,5,1968,4,1140,1,1441,5,1583,5,1518,6,758,4,1677,8,1905,4,2084,3,1939,9,2602,14,1835,10,4228,5
2021.06.07.00,767,2,687,5,1194,9,1239,4,1486,2,1673,5,2040,5,1894,6,1310,5,1424,1,2102,3,1964,4,1140,3,1436,4,1577,4,1512,4,754,4,1669,8,1901,12,2081,15,1930,8,2588,10,1825,9,4222,6
2021.06.06.00,765,1,686,4,1185,4,1236,6,1484,3,1668,4,2035,6,1887,7,1305,3,1423,1,2099,12,1961,8,1137,5,1432,8,1573,5,1508,2,750,6,1661,6,1889,13,2066,9,1922,10,2578,18,1815,7,4212,7
2021.06.05.00,764,2,682,7,1181,2,1230,7,1481,13,1664,6,2029,10,1880,16,1302,10,1422,3,2087,23,1953,8,1131,3,1424,5,1568,10,1506,7,744,2,1655,15,1876,12,2057,7,1913,19,2560,22,1808,16,4205,24
2021.06.04.00,762,1,676,2,1179,5,1223,7,1468,12,1658,7,2019,7,1864,9,1292,2,1419,5,2064,8,1945,6,1128,6,1419,9,1558,4,1499,3,742,5,1640,3,1864,16,2050,8,1895,7,2538,16,1792,20,4180,6
2021.06.03.00,761,2,674,2,1174,8,1216,3,1456,6,1651,7,2012,8,1855,8,1290,10,1414,6,2056,9,1940,4,1122,9,1410,13,1554,8,1496,1,737,5,1637,6,1848,10,2042,7,1889,7,2522,20,1772,17,4172,11
2021.06.02.00,759,1,673,2,1166,6,1213,9,1450,8,1644,7,2004,25,1848,9,1280,13,1408,11,2047,8,1936,8,1113,8,1397,7,1546,4,1495,2,732,9,1631,4,1838,11,2035,6,1882,18,2502,25,1755,14,4158,21
2021.06.01.00,758,0,671,1,1160,0,1204,2,1442,5,1637,3,1979,6,1840,13,1267,16,1397,7,2039,11,1928,5,1105,5,1390,3,1542,3,1493,4,723,4,1627,3,1827,3,2029,2,1864,8,2477,20,1741,4,4136,5
2021.05.31.00,758,0,670,1,1160,2,1202,7,1436,2,1634,5,1973,12,1827,4,1251,7,1390,2,2028,8,1923,0,1100,3,1387,8,1539,5,1489,2,719,8,1624,5,1824,4,2028,4,1856,3,2457,14,1737,7,4131,1
2021.05.30.00,758,3,669,0,1158,4,1195,5,1434,6,1629,7,1961,4,1823,11,1244,6,1388,5,2020,12,1923,2,1097,13,1379,5,1534,5,1487,5,711,5,1619,1,1820,4,2024,5,1853,5,2443,16,1730,6,4130,3
2021.05.29.00,755,1,669,2,1154,15,1190,6,1428,10,1622,3,1957,13,1812,6,1238,4,1383,5,2008,10,1921,2,1084,7,1374,10,1529,1,1482,6,706,4,1618,6,1816,3,2019,3,1848,12,2427,15,1724,7,4127,12
2021.05.28.00,754,2,667,7,1139,10,1184,7,1418,3,1620,8,1944,7,1806,5,1234,8,1378,6,1998,12,1919,9,1076,9,1364,8,1528,8,1477,13,702,7,1612,10,1813,4,2016,4,1836,10,2411,14,1717,6,4115,13
2021.05.27.00,752,4,660,0,1129,6,1177,8,1415,7,1612,4,1937,13,1801,7,1226,6,1373,2,1986,11,1910,9,1067,11,1356,9,1520,4,1464,5,695,2,1602,8,1809,6,2012,7,1826,17,2397,19,1711,16,4102,11
2021.05.26.00,748,5,660,4,1123,12,1170,11,1408,11,1608,1,1924,13,1794,10,1220,14,1371,8,1975,14,1901,3,1056,15,1347,5,1516,5,1459,8,693,8,1594,16,1803,7,2005,9,1809,21,2378,17,1695,17,4090,4
2021.05.25.00,743,0,656,1,1111,7,1159,3,1397,0,1607,4,1911,10,1784,9,1206,4,1363,5,1961,7,1898,6,1041,5,1342,3,1512,0,1451,6,685,10,1578,2,1796,3,1996,2,1789,9,2361,10,1679,14,4085,2
2021.05.24.00,743,1,655,2,1104,2,1156,7,1397,8,1603,8,1901,5,1775,4,1202,3,1358,3,1954,10,1892,3,1036,5,1339,1,1512,1,1445,2,675,1,1576,5,1793,9,1994,5,1780,3,2351,12,1665,13,4083,8
2021.05.23.00,742,3,653,2,1102,5,1149,2,1388,11,1595,2,1896,6,1771,8,1199,6,1355,2,1944,12,1889,7,1031,6,1338,6,1511,1,1443,6,674,6,1571,7,1784,10,1989,9,1777,4,2339,9,1653,17,4075,4
2021.05.22.00,739,3,651,5,1097,5,1147,6,1378,15,1593,7,1890,10,1763,6,1196,5,1340,6,1934,12,1882,11,1025,6,1332,10,1510,6,1437,1,668,6,1564,8,1774,5,1980,4,1774,9,2330,15,1636,10,4077,10
2021.05.21.00,737,0,646,1,1092,5,1142,4,1363,10,1586,7,1880,10,1757,5,1184,8,1350,2,1922,13,1871,5,1019,4,1322,8,1504,7,1436,3,662,6,1556,8,1769,4,1976,4,1762,3,2320,12,1624,10,4057,8
2021.05.20.00,737,3,645,4,1087,3,1138,5,1354,7,1579,19,1870,7,1752,14,1176,2,1348,7,1909,11,1866,7,1015,11,1314,3,1497,5,1433,11,657,7,1547,12,1765,7,1972,11,1759,6,2308,25,1614,13,4049,5
2021.05.19.00,734,6,641,5,1084,3,1133,5,1347,5,1560,5,1863,10,1738,8,1174,7,1341,9,1898,10,1859,8,1004,5,1311,11,1492,10,1422,12,650,5,1535,12,1758,11,1961,9,1753,9,2283,32,1601,13,4044,12
2021.05.18.00,728,4,637,2,1081,4,1128,2,1342,9,1554,7,1853,3,1730,8,1168,14,1332,9,1889,9,1851,7,999,1,1300,3,1482,4,1410,7,645,2,1523,8,1747,4,1952,6,1744,6,2251,15,1588,12,4030,9
2021.05.17.00,724,2,635,1,1077,2,1126,6,1333,10,1547,8,1850,8,1721,11,1155,8,1323,7,1880,14,1844,4,998,9,1297,6,1478,7,1403,14,643,1,1515,7,1743,13,1946,7,1738,3,2235,13,1576,17,4021,2
2021.05.16.00,722,6,634,4,1075,2,1120,3,1325,8,1539,6,1842,12,1710,14,1147,8,1316,10,1866,14,1840,7,989,10,1291,2,1471,8,1389,5,642,4,1508,11,1730,6,1939,7,1735,6,2221,29,1558,9,4019,8
2021.05.15.00,716,5,630,1,1073,7,1118,3,1317,3,1534,9,1830,17,1696,12,1139,16,1306,17,1852,19,1833,8,979,3,1290,7,1463,2,1384,14,638,7,1497,17,1724,8,1931,13,1729,9,2192,16,1549,6,4009,14
2021.05.14.00,711,1,629,2,1066,4,1115,7,1314,2,1525,8,1813,7,1684,10,1123,19,1289,12,1833,20,1825,3,976,5,1283,6,1461,4,1370,6,631,4,1480,8,1716,8,1918,17,1720,15,2176,11,1543,12,3995,14
2021.05.13.00,710,7,627,1,1062,6,1108,10,1313,6,1517,11,1806,14,1674,4,1104,11,1277,9,1813,20,1822,8,971,2,1277,10,1457,7,1364,7,627,4,1472,9,1708,5,1901,9,1705,12,2165,18,1531,16,3980,5
2021.05.12.00,703,1,626,5,1056,7,1098,2,1307,5,1506,7,1792,9,1670,12,1093,9,1268,8,1793,10,1814,8,969,7,1268,0,1450,12,1357,11,623,9,1463,12,1703,7,1892,15,1693,14,2147,20,1515,7,3974,11
2021.05.12.00,703,1,626,5,1056,7,1098,2,1307,5,1506,7,1792,9,1670,12,1093,9,1268,8,1793,10,1814,8,969,7,1268,0,1450,12,1357,11,623,9,1463,12,1703,7,1892,15,1693,14,2147,20,1515,7,3974,11
2021.05.11.00,702,0,621,2,1049,4,1096,7,1302,7,1501,11,1783,9,1658,7,1084,13,1260,7,1783,10,1806,7,962,3,1268,3,1438,7,1346,3,615,4,1451,7,1696,10,1877,3,1679,6,2127,13,1507,5,3961,4
2021.05.10.00,702,0,622,2,1045,3,1089,7,1293,7,1490,8,1774,8,1651,10,1071,4,1253,4,1773,7,1799,11,959,0,1265,4,1431,9,1343,1,611,0,1444,1,1686,6,1874,7,1673,6,2113,13,1502,9,3958,3
2021.05.09.00,702,3,620,4,1042,1,1082,7,1286,8,1482,6,1766,4,1641,16,1067,8,1249,13,1766,16,1788,8,959,3,1261,10,1422,8,1342,4,611,5,1444,4,1680,13,1867,3,1667,8,2100,17,1493,5,3954,8
2021.05.08.00,699,1,616,6,1041,3,1075,8,1278,7,1475,13,1762,3,1625,14,1059,15,1236,11,1750,14,1780,15,956,10,1252,5,1414,6,1338,2,605,3,1441,5,1667,7,1864,4,1659,6,2083,38,1488,12,3946,10
2021.05.07.00,698,0,610,1,1038,3,1067,9,1274,6,1462,4,1759,7,1611,3,1044,14,1225,12,1736,7,1765,15,945,3,1248,2,1408,3,1336,13,602,4,1436,11,1660,3,1860,11,1653,6,2045,11,1476,6,3933,9
2021.05.06.00,698,2,609,9,1035,10,1058,7,1268,10,1458,8,1752,11,1609,6,1029,8,1213,19,1729,6,1750,7,942,5,1247,2,1405,5,1323,4,598,4,1425,10,1657,4,1849,8,1647,14,2034,19,1470,6,3923,9
2021.05.05.00,696,2,600,4,1025,9,1050,3,1259,11,1451,19,1740,11,1603,12,1021,6,1194,6,1723,11,1743,10,937,4,1245,12,1400,7,1319,2,594,3,1415,12,1653,15,1841,10,1633,10,2015,16,1464,8,3914,13
2021.05.04.00,694,3,596,2,1016,4,1047,5,1248,10,1432,10,1729,9,1591,6,1015,10,1188,2,1712,4,1733,15,933,3,1233,2,1393,4,1317,5,591,3,1403,6,1638,9,1831,11,1623,5,1999,18,1456,15,3901,7
2021.05.03.00,691,1,595,3,1012,4,1042,2,1238,6,1422,6,1720,7,1584,6,1005,4,1186,4,1708,13,1718,8,930,2,1231,5,1389,3,1312,0,588,2,1398,3,1628,9,1820,2,1618,8,1982,12,1441,3,3893,2
2021.05.02.00,690,3,592,3,1008,6,1040,6,1232,1,1416,11,1713,10,1578,4,1001,1,1182,5,1695,8,1710,4,928,6,1226,1,1386,5,1312,2,585,8,1396,6,1619,4,1818,15,1610,13,1970,19,1438,11,3891,10
2021.05.01.00,687,7,589,2,1002,8,1034,0,1231,3,1405,14,1703,7,1574,8,1000,3,1177,5,1687,10,1706,12,922,1,1225,7,1381,5,1310,3,577,2,1390,14,1615,11,1803,13,1597,10,1951,12,1427,9,3881,8
2021.04.30.00,680,3,587,0,994,6,1033,5,1228,6,1391,7,1696,7,1566,6,997,7,1172,7,1677,6,1694,18,921,5,1218,4,1376,10,1306,7,575,0,1376,9,1604,14,1793,22,1587,12,1939,22,1418,8,3872,15
2021.04.29.00,677,3,587,5,988,8,1028,11,1222,10,1385,24,1689,14,1560,6,989,6,1165,7,1670,10,1676,10,916,1,1214,9,1366,6,1299,6,576,4,1366,7,1587,5,1778,9,1576,7,1917,19,1410,8,3853,11
2021.04.28.00,674,2,582,2,980,5,1017,6,1212,10,1361,14,1676,19,1554,6,983,3,1158,12,1660,12,1667,12,915,4,1204,10,1360,4,1293,4,572,7,1359,9,1582,15,1771,14,1569,10,1898,28,1402,13,3841,14
2021.04.27.00,672,1,581,1,975,2,1011,3,1202,5,1347,9,1657,6,1548,1,980,0,1146,5,1648,3,1655,7,911,0,1194,4,1356,3,1290,2,565,0,1349,3,1567,5,1757,5,1559,3,1870,15,1389,13,3826,5
2021.04.26.00,671,3,580,1,973,5,1009,8,1196,8,1338,5,1651,10,1547,1,980,4,1141,10,1645,6,1648,7,912,3,1190,3,1353,4,1288,3,565,3,1346,8,1562,5,1752,8,1556,7,1855,12,1376,5,3820,5
